# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,10H40,3600-3699,4/16/2017,08,1,Theft,Residence or House,CHENEVERT,-,-
1,10H40,3600-3699,4/17/2017,10,1,Theft,Driveway,CHENEVERT,-,-
1,10H40,1400-1499,4/17/2017,00,1,Theft,Fire Station,ELGIN,-,ST
1,10H40,2200-2299,4/18/2017,09,1,Theft,Service or Gas Station,MAIN,-,ST
1,10H40,700-799,4/18/2017,09,1,Theft,"Road, Street, or Sidewalk",ROSALIE,-,-
1,10H40,800-899,4/18/2017,12,1,Theft,Residence or House,WINBERN,-,-
1,10H40,UNK,4/17/2017,12,1,Theft,Restaurant or Cafeteria,WESTHEIMER AND HWY 6,-,-
1,10H40,3100-3199,4/17/2017,19,1,Theft,Miscellaneous Business (Non-Specific),HAMILTON,-,ST
1,10H40,3300-3399,4/15/2017,07,1,Theft,"Road, Street, or Sidewalk",MILAM,-,-
1,10H40,1000-1099,4/15/2017,00,1,Theft,"Road, Street, or Sidewalk",HOLMAN,-,-
1,10H40,800-899,4/15/2017,00,1,Theft,"Road, Street, or Sidewalk",BERRY,-,ST
1,10H40,3500-3599,4/14/2017,20,1,Theft,Commercial Parking Lot or Garage,MAIN,-,ST
1,10H40,2800-2899,4/14/2017,21,1,Theft,Other Parking Lot,MILAM,-,-
1,10H40,1100-1199,4/14/2017,22,1,Theft,"Road, Street, or Sidewalk",BERRY,-,ST
1,10H40,3800-3899,4/14/2017,23,1,Theft,"Road, Street, or Sidewalk",AUSTIN,-,ST
1,10H40,3000-3099,4/15/2017,10,1,Theft,Commercial Parking Lot or Garage,TRAVIS,-,-
1,10H40,1300-1399,4/15/2017,18,1,Theft,Residence or House,ANITA,-,ST
1,10H40,4200-4299,4/15/2017,19,1,Auto Theft,Commercial Parking Lot or Garage,SAN JACINTO,-,ST
1,10H40,2800-2899,4/14/2017,07,1,Theft,Restaurant or Cafeteria Parking Lot,MILAM,-,-
1,10H40,800-899,4/14/2017,01,1,Theft,"Road, Street, or Sidewalk",BERRY,-,ST
1,10H40,1500-1599,4/13/2017,12,1,Theft,Driveway,ELGIN,-,ST
1,10H40,2500-2599,4/13/2017,16,1,Auto Theft,Apartment Parking Lot,MAIN,-,ST
1,10H40,1000-1099,4/13/2017,18,1,Theft,Other Parking Lot,ELGIN,-,ST
1,10H40,2700-2799,4/13/2017,01,1,Theft,"Road, Street, or Sidewalk",TRAVIS,-,-
1,10H40,3400-3499,4/13/2017,02,1,Theft,"Road, Street, or Sidewalk",FANNIN,-,ST
1,10H40,1300-1399,4/12/2017,17,1,Theft,"Other, Unknown, or Not Listed",HOLMAN,-,-
1,10H40,4000-4099,4/12/2017,17,1,Theft,Apartment Parking Lot,FANNIN,-,ST
1,10H40,4000-4099,4/12/2017,12,1,Theft,"Road, Street, or Sidewalk",LA BRANCH,-,-
1,10H40,3300-3399,4/11/2017,22,1,Theft,"Road, Street, or Sidewalk",MILAM,-,-
1,10H40,1900-1999,4/12/2017,10,1,Theft,Commercial Parking Lot or Garage,GRAY,-,ST
1,10H40,3300-3399,4/11/2017,16,1,Theft,"Road, Street, or Sidewalk",MILAM,-,-
1,10H40,3200-3299,4/10/2017,22,1,Theft,"Other, Unknown, or Not Listed",LOUISIANA,-,ST
1,10H40,3300-3399,4/11/2017,05,1,Burglary,Residence or House,CHENEVERT,-,-
1,10H40,2500-2599,4/11/2017,07,1,Robbery,"Road, Street, or Sidewalk",FANNIN,-,ST
1,10H40,1300-1399,4/9/2017,07,1,Theft,Residence or House,ROSALIE,-,-
1,10H40,1100-1199,4/9/2017,07,1,Burglary,Restaurant or Cafeteria,HOLMAN,-,-
1,10H40,3300-3399,4/9/2017,09,1,Theft,"Road, Street, or Sidewalk",JACKSON,-,ST
1,10H40,900-999,4/8/2017,02,1,Robbery,"Road, Street, or Sidewalk",GRAY,-,ST
1,10H40,1500-1599,4/8/2017,02,1,Theft,"Road, Street, or Sidewalk",HADLEY,-,ST
1,10H40,2100-2199,4/8/2017,10,1,Theft,Other Parking Lot,LOUISIANA,-,ST
1,10H40,2100-2199,4/7/2017,15,1,Theft,Convenience Store,FANNIN,-,ST
1,10H40,3500-3599,4/7/2017,23,1,Theft,"Road, Street, or Sidewalk",FANNIN,-,ST
1,10H40,1800-1899,4/10/2017,08,1,Theft,"Road, Street, or Sidewalk",DREW,-,ST
1,10H40,1100-1199,4/10/2017,06,1,Burglary,Restaurant or Cafeteria,HOLMAN,-,-
1,10H40,4500-4599,4/9/2017,21,1,Robbery,Light Rail Platform,MAIN,-,ST
1,10H40,700-799,4/9/2017,14,1,Auto Theft,Apartment Parking Lot,MCGOWEN,-,ST
1,10H40,1900-1999,4/6/2017,14,1,Theft,Miscellaneous Business (Non-Specific),GRAY,-,ST
