Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H60,4400-4499,08/04/2017,15,1,Theft,1,Hospital,N MACGREGOR WAY,-,-
10H60,6300-6399,08/05/2017,02,1,Theft,1,"Road, Street, or Sidewalk",PO BOX 534222,-,-
10H60,2900-2999,08/05/2017,10,1,Theft,1,Residence or House,ROSEWOOD,-,-
10H60,15100-15199,08/05/2017,10,1,Theft,1,"Road, Street, or Sidewalk",LEVENS,-,WAY
10H60,6400-6499,08/05/2017,07,1,Theft,1,"Road, Street, or Sidewalk",DEL RIO ST,-,ST
10H60,2500-2599,08/05/2017,15,1,Theft,1,Driveway,ARBOR ST,-,ST
10H60,8000-8099,08/06/2017,01,1,AutoTheft,1,"Road, Street, or Sidewalk",BOSPORUS,-,ST
10H60,3300-3399,08/06/2017,01,1,Theft,1,Residence or House,WENTWORTH ST,-,ST
10H60,3300-3399,08/06/2017,03,1,Theft,1,Bar or Night Club,DIXIE DR,-,-
10H60,4000-4099,08/07/2017,07,1,Theft,1,"Road, Street, or Sidewalk",GLEN COVE DR,-,-
10H60,3500-3599,08/08/2017,06,1,Theft,1,"Road, Street, or Sidewalk",DIXIE DR,-,-
10H60,3300-3399,08/09/2017,15,1,AutoTheft,1,Residence or House,SOUTHMORE BLVD,-,BLVD
10H60,4400-4499,08/09/2017,14,1,Theft,1,Apartment Parking Lot,S MACGREGOR WAY,-,-
10H60,3600-3699,08/10/2017,06,1,Burglary,1,Restaurant or Cafeteria,OLD SPANISH,-,TRL
10H60,8400-8499,08/11/2017,09,1,Robbery,1,Other Parking Lot,NORTHERN,-,-
10H60,2800-2899,08/11/2017,09,1,Theft,1,Driveway,BARBEE ST,-,ST
10H60,5200-5299,08/11/2017,09,1,Theft,1,"Gym, Recreat, Club House, Indoor Pool",CALHOUN RD,-,RD
10H60,2500-2599,08/11/2017,08,1,Burglary,1,Residence or House,OAKDALE,-,-
10H60,2400-2499,08/11/2017,04,1,Theft,1,Restaurant or Cafeteria Parking Lot,OAKDALE,-,-
10H60,2200-2299,08/11/2017,12,1,AutoTheft,1,Auto Repair,BLODGETT ST,-,ST
10H60,2400-2499,08/12/2017,09,1,Theft,1,"Road, Street, or Sidewalk",WENTWORTH ST,-,ST
