Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H40,3200-3299,06/10/2017,02,1,Theft,2,Commercial Parking Lot or Garage,LOUISIANA ST,-,ST
10H40,2800-2899,06/10/2017,11,1,Theft,1,Restaurant or Cafeteria,MILAM,-,-
10H40,3200-3299,06/10/2017,15,1,Theft,1,Bar or Night Club,MAIN ST IB,-,-
10H40,2900-2999,06/10/2017,15,1,Robbery,1,"Road, Street, or Sidewalk",MAIN ST OB,-,-
10H40,4600-4699,06/10/2017,14,1,Theft,1,Apartment,MAIN,-,ST
10H40,1700-1799,06/11/2017,12,1,Theft,1,"Road, Street, or Sidewalk",HADLEY ST,-,ST
10H40,800-899,06/11/2017,03,1,Theft,1,"Road, Street, or Sidewalk",BERRY ST,-,ST
10H40,3900-3999,06/11/2017,20,1,Burglary,1,Garage or Carport,AUSTIN ST,-,ST
10H40,3700-3799,06/12/2017,14,1,Theft,1,"Road, Street, or Sidewalk",MILAM,-,-
10H40,1000-1099,06/12/2017,20,1,Theft,1,Convenience Store Parking Lot,ELGIN ST,-,ST
10H40,2000-2099,06/13/2017,18,1,Theft,1,Restaurant or Cafeteria Parking Lot,MAIN ST,-,ST
10H40,12200-12299,06/13/2017,18,1,Burglary,1,Residence or House,ORMANDY STREET,-,-
10H40,2900-2999,06/13/2017,14,1,Theft,1,"Other, Unknown, or Not Listed",HAMILTON ST,-,ST
10H40,2100-2199,06/13/2017,09,1,Theft,1,Strip Business Center Parking Lot,CHENEVERT,-,-
10H40,3000-3099,06/13/2017,10,1,Theft,1,"Other, Unknown, or Not Listed",TRAVIS,-,-
10H40,2900-2999,06/14/2017,20,1,Theft,1,Restaurant or Cafeteria Parking Lot,MILAM,-,-
10H40,1900-1999,06/15/2017,09,1,Theft,1,Strip Business Center Parking Lot,GRAY ST,-,ST
10H40,1500-1599,06/15/2017,10,1,Theft,1,"Road, Street, or Sidewalk",FRANCIS ST,-,ST
10H40,2500-2599,06/16/2017,14,1,Theft,1,"Road, Street, or Sidewalk",FANNIN ST,-,ST
10H40,3800-3899,06/16/2017,01,1,Theft,1,Apartment,MAIN,-,ST
