# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,6B10,100-199,3/4/2017,07,1,Theft,Residence or House,WELLINGTON,-,ST
1,6B10,11200-11299,3/4/2017,02,1,Theft,Residence or House,CARLA,-,ST
1,6B10,500-599,3/7/2017,18,1,Theft,Convenience Store,TIDWELL,E,RD
1,6B10,500-599,3/6/2017,13,1,Theft,Strip Business Center Parking Lot,TIDWELL,E,RD
1,6B10,6900-6999,3/6/2017,20,1,Theft,Service or Gas Station,AIRLINE,-,DR
1,6B10,11200-11299,3/7/2017,05,1,Theft,Driveway,SAGINAW,-,DR
1,6B10,5800-5899,3/7/2017,05,1,Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,NORTH,-,FWY
1,6B10,7000-7099,3/2/2017,16,1,Theft,"Pawn, Resale Shop, or Flea Market",NORTH,-,FWY
1,6B10,6100-6199,3/2/2017,19,1,Theft,Restaurant or Cafeteria Parking Lot,AIRLINE,-,DR
1,6B10,400-499,3/2/2017,13,1,Auto Theft,Grocery Store or Supermarket Parking Lot,LITTLE YORK,-,RD
1,6B10,1000-1099,3/1/2017,16,1,Theft,Grocery Store or Supermarket Parking Lot,CRAVENS,-,-
1,6B10,900-999,3/2/2017,22,1,Burglary,Residence or House,RITTENHOUSE,E,ST
1,6B10,11300-11399,2/28/2017,13,1,Theft,Residence or House,CATAMORE,-,-
1,6B10,100-199,3/1/2017,06,1,Theft,Driveway,PARKER,-,RD
1,6B10,200-299,3/1/2017,12,1,Theft,Convenience Store Parking Lot,LITTLE YORK,E,RD
1,6B10,1100-1199,1/24/2017,12,1,Auto Theft,Residence or House,CHARLES,-,RD
1,6B10,800-899,3/31/2017,11,1,Theft,Miscellaneous Business (Non-Specific),RITTENHOUSE,E,ST
1,6B10,100-199,12/28/2016,20,1,Burglary,Residence or House,RITTENHOUSE,E,ST
1,6B10,10500-10599,4/29/2015,12,1,Theft,Miscellaneous Business (Non-Specific),ODONNELL,-,DR
1,6B10,200-299,3/30/2017,17,1,Theft,Residence or House,COOPER,-,RD
1,6B10,5400-5499,3/30/2017,16,1,Theft,Strip Business Center Parking Lot,NORTH,-,FWY
1,6B10,900-999,3/31/2017,01,1,Robbery,"Road, Street, or Sidewalk",DUNKLEY,-,DR
1,6B10,UNK,3/28/2017,09,1,Theft,Residence or House,DIPPING,-,LN
1,6B10,800-899,3/29/2017,13,1,Theft,Auto Repair,CANINO,E,RD
1,6B10,200-299,3/29/2017,11,1,Robbery,Convenience Store Parking Lot,CANINO,W,RD
1,6B10,11500-11599,3/29/2017,18,1,Theft,Other Parking Lot,HARDY,W,RD
1,6B10,6300-6399,3/29/2017,16,1,Auto Theft,Other Parking Lot,NORTH,-,FWY
1,6B10,UNK,3/30/2017,05,1,Burglary,"Vacant Single Occ Resd(House,Townhs,Dplex)",SUNNYSIDE,E,ST
1,6B10,100-199,3/30/2017,00,1,Auto Theft,Apartment Parking Lot,PARKER,W,RD
1,6B10,7400-7499,3/27/2017,21,1,Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,AIRLINE,-,DR
1,6B10,5600-5699,3/27/2017,11,1,Burglary,Apartment,NORTH,-,FWY
1,6B10,200-299,3/27/2017,08,1,Theft,Driveway,BENBROOK,-,DR
1,6B10,7400-7499,3/27/2017,09,1,Theft,Department or Discount Store,AIRLINE,-,DR
1,6B10,7300-7399,3/26/2017,22,1,Robbery,Apartment Parking Lot,NORTHLINE,-,DR
1,6B10,1200-1299,3/26/2017,06,1,Theft,Residence or House,SOREN,-,LN
1,6B10,800-899,3/24/2017,09,1,Theft,Residence or House,BRIARCLIFF,-,DR
1,6B10,10700-10799,3/25/2017,14,1,Burglary,"Church, Synagogue, or Temple",BAUMAN,-,RD
1,6B10,9600-9699,3/25/2017,19,1,Theft,Convenience Store,IRVINGTON,-,BLVD
1,6B10,1000-1099,3/25/2017,05,1,Burglary,"Parks and Recreation, Zoo, Swimming Pool",CANINO,-,RD
1,6B10,300-399,3/25/2017,10,1,Auto Theft,Apartment Parking Lot,ROSAMOND,-,-
1,6B10,300-399,3/23/2017,07,1,Theft,Apartment Parking Lot,SUNNYSIDE,-,ST
1,6B10,7500-7599,3/23/2017,05,1,Burglary,Restaurant or Cafeteria,NORTH,-,FWY
