Date,Number of Records,Primary Type
1/12/2017 10:20:00 AM,1,MOTOR VEHICLE THEFT
1/12/2017 4:50:00 PM,1,MOTOR VEHICLE THEFT
1/12/2017 8:00:00 PM,1,MOTOR VEHICLE THEFT
1/12/2017 8:45:00 PM,1,MOTOR VEHICLE THEFT
1/12/2017 11:00:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 2:00:00 AM,1,MOTOR VEHICLE THEFT
1/13/2017 5:50:00 AM,1,MOTOR VEHICLE THEFT
1/13/2017 6:25:00 AM,1,MOTOR VEHICLE THEFT
1/13/2017 7:00:00 AM,1,MOTOR VEHICLE THEFT
1/13/2017 7:15:00 AM,1,MOTOR VEHICLE THEFT
1/13/2017 7:30:00 AM,1,MOTOR VEHICLE THEFT
1/13/2017 7:45:00 AM,1,MOTOR VEHICLE THEFT
1/13/2017 8:30:00 AM,1,MOTOR VEHICLE THEFT
1/13/2017 10:00:00 AM,1,MOTOR VEHICLE THEFT
1/13/2017 11:45:00 AM,1,MOTOR VEHICLE THEFT
1/13/2017 2:00:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 3:00:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 5:44:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 6:15:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 6:30:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 8:40:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 9:00:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 9:00:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 10:00:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 10:00:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 10:15:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 11:00:00 PM,1,MOTOR VEHICLE THEFT
1/13/2017 11:14:00 PM,1,MOTOR VEHICLE THEFT
1/14/2017 12:01:00 AM,1,MOTOR VEHICLE THEFT
1/14/2017 3:00:00 AM,1,MOTOR VEHICLE THEFT
1/14/2017 4:00:00 AM,1,MOTOR VEHICLE THEFT
1/14/2017 8:00:00 AM,1,MOTOR VEHICLE THEFT
1/14/2017 8:45:00 AM,1,MOTOR VEHICLE THEFT
1/14/2017 9:34:00 AM,1,MOTOR VEHICLE THEFT
1/14/2017 12:00:00 PM,1,MOTOR VEHICLE THEFT
1/14/2017 12:23:00 PM,1,MOTOR VEHICLE THEFT
1/14/2017 1:00:00 PM,1,MOTOR VEHICLE THEFT
1/14/2017 2:50:00 PM,1,MOTOR VEHICLE THEFT
1/14/2017 3:00:00 PM,1,MOTOR VEHICLE THEFT
1/14/2017 5:10:00 PM,1,MOTOR VEHICLE THEFT
1/14/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
1/14/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
1/14/2017 6:25:00 PM,1,MOTOR VEHICLE THEFT
1/14/2017 11:00:00 PM,1,MOTOR VEHICLE THEFT
1/15/2017 1:00:00 AM,1,MOTOR VEHICLE THEFT
1/15/2017 2:00:00 AM,1,MOTOR VEHICLE THEFT
1/15/2017 6:30:00 AM,1,MOTOR VEHICLE THEFT
1/15/2017 11:00:00 AM,1,MOTOR VEHICLE THEFT
1/15/2017 2:15:00 PM,1,MOTOR VEHICLE THEFT
1/15/2017 3:00:00 PM,1,MOTOR VEHICLE THEFT
1/15/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
1/15/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
1/15/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
1/15/2017 4:30:00 PM,1,MOTOR VEHICLE THEFT
1/15/2017 4:50:00 PM,1,MOTOR VEHICLE THEFT
1/15/2017 8:30:00 PM,1,MOTOR VEHICLE THEFT
1/15/2017 9:00:00 PM,1,MOTOR VEHICLE THEFT
1/15/2017 10:30:00 PM,1,MOTOR VEHICLE THEFT
1/15/2017 10:45:00 PM,1,MOTOR VEHICLE THEFT
1/16/2017 12:45:00 AM,1,MOTOR VEHICLE THEFT
1/16/2017 2:00:00 AM,1,MOTOR VEHICLE THEFT
1/16/2017 5:20:00 AM,1,MOTOR VEHICLE THEFT
1/16/2017 6:30:00 AM,1,MOTOR VEHICLE THEFT
1/16/2017 8:15:00 AM,1,MOTOR VEHICLE THEFT
1/16/2017 11:00:00 AM,1,MOTOR VEHICLE THEFT
1/16/2017 12:00:00 PM,1,MOTOR VEHICLE THEFT
1/16/2017 1:40:00 PM,1,MOTOR VEHICLE THEFT
1/16/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/17/2017 12:10:00 AM,1,MOTOR VEHICLE THEFT
1/17/2017 12:00:00 PM,1,MOTOR VEHICLE THEFT
1/17/2017 4:30:00 PM,1,MOTOR VEHICLE THEFT
1/17/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/17/2017 6:30:00 PM,1,MOTOR VEHICLE THEFT
1/17/2017 6:50:00 PM,1,MOTOR VEHICLE THEFT
1/17/2017 9:00:00 PM,1,MOTOR VEHICLE THEFT
1/17/2017 9:30:00 PM,1,MOTOR VEHICLE THEFT
1/17/2017 10:25:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 3:50:00 AM,1,MOTOR VEHICLE THEFT
1/18/2017 5:00:00 AM,1,MOTOR VEHICLE THEFT
1/18/2017 5:30:00 AM,1,MOTOR VEHICLE THEFT
1/18/2017 5:45:00 AM,1,MOTOR VEHICLE THEFT
1/18/2017 6:30:00 AM,1,MOTOR VEHICLE THEFT
1/18/2017 7:03:00 AM,1,MOTOR VEHICLE THEFT
1/18/2017 8:00:00 AM,1,MOTOR VEHICLE THEFT
1/18/2017 10:00:00 AM,1,MOTOR VEHICLE THEFT
1/18/2017 1:00:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 1:58:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 3:21:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 4:15:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 4:30:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 6:17:00 PM,1,MOTOR VEHICLE THEFT
1/18/2017 9:30:00 PM,1,MOTOR VEHICLE THEFT
1/19/2017 12:50:00 AM,1,MOTOR VEHICLE THEFT
1/19/2017 1:00:00 AM,1,MOTOR VEHICLE THEFT
1/19/2017 1:00:00 AM,1,MOTOR VEHICLE THEFT
1/19/2017 3:00:00 AM,1,MOTOR VEHICLE THEFT
1/19/2017 4:00:00 AM,1,MOTOR VEHICLE THEFT
1/19/2017 4:20:00 AM,1,MOTOR VEHICLE THEFT
1/19/2017 6:03:00 AM,1,MOTOR VEHICLE THEFT
1/19/2017 6:30:00 AM,1,MOTOR VEHICLE THEFT
1/19/2017 6:50:00 AM,1,MOTOR VEHICLE THEFT
1/19/2017 7:30:00 AM,1,MOTOR VEHICLE THEFT
1/19/2017 8:40:00 AM,1,MOTOR VEHICLE THEFT
1/19/2017 10:15:00 AM,1,MOTOR VEHICLE THEFT
1/19/2017 1:00:00 PM,1,MOTOR VEHICLE THEFT
1/19/2017 1:15:00 PM,1,MOTOR VEHICLE THEFT
1/19/2017 2:20:00 PM,1,MOTOR VEHICLE THEFT
1/19/2017 2:45:00 PM,1,MOTOR VEHICLE THEFT
1/19/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
1/19/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
1/19/2017 6:30:00 PM,1,MOTOR VEHICLE THEFT
1/19/2017 8:45:00 PM,1,MOTOR VEHICLE THEFT
1/19/2017 9:00:00 PM,1,MOTOR VEHICLE THEFT
1/19/2017 9:30:00 PM,1,MOTOR VEHICLE THEFT
1/19/2017 9:30:00 PM,1,MOTOR VEHICLE THEFT
1/19/2017 9:38:00 PM,1,MOTOR VEHICLE THEFT
1/19/2017 10:00:00 PM,1,MOTOR VEHICLE THEFT
