Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H40,900-999,05/06/2017,14,1,AutoTheft,1,"Road, Street, or Sidewalk",MCGOWEN ST,-,ST
10H40,700-799,05/06/2017,18,1,AutoTheft,1,"Road, Street, or Sidewalk",SILLIMAN,-,-
10H40,1300-1399,05/07/2017,01,1,Theft,1,"Road, Street, or Sidewalk",HADLEY ST,-,ST
10H40,3000-3099,05/07/2017,12,1,AutoTheft,1,Bar or Night Club Parking Lot,CAROLINE ST,-,ST
10H40,1100-1199,05/07/2017,23,1,Theft,1,"Road, Street, or Sidewalk",WEBSTER ST,-,ST
10H40,2100-2199,05/07/2017,22,1,Robbery,1,"Road, Street, or Sidewalk",MAIN ST IB,-,-
10H40,3200-3299,05/07/2017,14,1,Theft,1,Commercial Parking Lot or Garage,LOUISIANA ST,-,ST
10H40,1500-1599,05/08/2017,09,1,Theft,1,"Road, Street, or Sidewalk",ANITA,-,-
10H40,3000-3099,05/08/2017,12,1,Theft,1,"Road, Street, or Sidewalk",CHENEVERT,-,-
10H40,2400-2499,05/08/2017,13,1,Theft,1,"Road, Street, or Sidewalk",FANNIN ST,-,ST
10H40,1700-1799,05/08/2017,10,1,Theft,1,Bar or Night Club,BREMOND ST,-,ST
10H40,2400-2499,05/08/2017,11,1,AutoTheft,1,"Road, Street, or Sidewalk",LITTLE YORK,-,RD
10H40,900-999,05/08/2017,22,1,Theft,1,"Road, Street, or Sidewalk",WINBERN,-,-
10H40,3300-3399,05/09/2017,02,1,Robbery,1,Bus Station,BREMOND,-,ST
10H40,2200-2299,05/09/2017,08,1,Theft,1,"Road, Street, or Sidewalk",AUSTIN ST,-,ST
10H40,4300-4399,05/09/2017,09,1,Theft,1,"Road, Street, or Sidewalk",SAN JACINTO ST,-,ST
10H40,2300-2399,05/09/2017,11,1,Robbery,1,Bank,FANNIN,-,ST
10H40,2500-2599,05/09/2017,14,1,AutoTheft,1,Vehicle/Auto Sales/Lease/Auto Parts Store,MAIN,-,ST
10H40,1000-1099,05/10/2017,09,1,AutoTheft,1,Vehicle/Auto Sales/Lease/Auto Parts Store,WEBSTER,-,ST
10H40,300-399,05/10/2017,05,1,Robbery,1,"Road, Street, or Sidewalk",BURR,N,ST
10H40,4000-4099,05/10/2017,18,1,Theft,1,Apartment Parking Lot,FANNIN ST 4443,-,-
10H40,2300-2399,05/11/2017,05,1,AutoTheft,1,"Road, Street, or Sidewalk",CRAWFORD ST,-,ST
10H40,1100-1199,05/11/2017,22,1,Theft,1,"Road, Street, or Sidewalk",BERRY ST,-,ST
10H40,1400-1499,05/11/2017,23,1,Theft,1,"Road, Street, or Sidewalk",ISABELLA,-,-
10H40,800-899,05/11/2017,12,1,Theft,1,"Road, Street, or Sidewalk",WINBERN,-,-
10H40,3400-3499,05/12/2017,12,1,Theft,1,Residence or House,FANNIN ST,-,ST
10H40,3800-3899,05/13/2017,13,1,Theft,1,Garage or Carport,MAIN ST OB,-,-
10H40,1500-1599,05/13/2017,23,1,Theft,1,"Road, Street, or Sidewalk",FRANCIS ST,-,ST
10H40,900-999,05/14/2017,18,1,Theft,1,Residence or House,FRANKLIN,-,ST
10H40,100-199,05/14/2017,21,1,Robbery,1,Restaurant or Cafeteria Parking Lot,QUINCE,-,AVE
10H40,400-499,05/14/2017,11,1,Robbery,1,"Parks and Recreation, Zoo, Swimming Pool",RICHMOND AVE,-,-
10H40,5800-5899,05/15/2017,01,1,Theft,1,Apartment Rental Office,HARRISBURG,-,-
10H40,3800-3899,05/15/2017,08,1,Theft,1,Apartment Parking Lot,MAIN ST OB,-,-
10H40,1900-1999,05/15/2017,08,1,Theft,1,Construction Site,GRAY,-,ST
10H40,4000-4099,05/15/2017,13,1,Theft,1,"Road, Street, or Sidewalk",FANNIN ST,-,ST
10H40,900-999,05/16/2017,06,1,Theft,1,"Road, Street, or Sidewalk",ROSEWOOD,-,-
10H40,1300-1399,05/16/2017,08,1,Theft,1,Vacant School or College/University,HOLMAN,-,-
10H40,1300-1399,05/16/2017,18,1,Robbery,1,Bus Stop,FAIRVIEW,-,-
10H40,1000-1099,05/16/2017,15,1,Theft,1,Other Parking Lot,ELGIN ST,-,ST
